"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A_32_P43349",-3.17692097692307,4.61185709615385,-15.206683872139,2.33877748642819e-28,5.15783424635967e-26,54.009313902425
"A_24_P366607",-3.50423219807692,4.43928262788462,-15.2021355777195,2.39026803531737e-28,5.23759822123421e-26,53.987724091842
"A_23_P166823",-3.57889265576921,7.15445627019231,-15.185136938558,2.59300304198341e-28,5.64564477605852e-26,53.9070126881647
"A_32_P13151",-3.57356445384614,7.03764873846154,-15.1587799584561,2.94207766349702e-28,6.36512916274169e-26,53.781797073299
"A_32_P101917",-4.59510299038461,5.33117943365385,-15.1376392853711,3.25593532761005e-28,6.99985140274808e-26,53.681301628215
"A_23_P6818",-3.38161429615383,7.43061440769231,-15.1338991264973,3.31486917421188e-28,7.08201081138029e-26,53.6635165376537
"A_33_P3347343",-1.98684518269229,9.04335335096154,-15.0897658424345,4.0968430060489e-28,8.69828475004781e-26,53.4535267425914
"A_23_P253896",-2.64715803846151,10.9568530576923,-15.0576538539473,4.78014187011876e-28,1.00863944164364e-25,53.3005865605929
"A_24_P945113",-2.92076420576921,10.0477196182692,-15.0507707762115,4.94091157817829e-28,1.03616675139183e-25,53.2677881649506
"A_23_P351148",-3.2591752076923,4.64557459038462,-15.0128194022826,5.9301101954145e-28,1.23603022445033e-25,53.0868439592258
"A_23_P169097",-3.61481144807691,8.49585663173077,-15.0037193266872,6.1955224016037e-28,1.28352449850921e-25,53.0434308194177
"A_23_P45185",-4.45948242115383,9.52878353942308,-14.9907921746079,6.59321663320471e-28,1.35768629019781e-25,52.9817429031252
"A_23_P26037",3.69988166923079,4.15293723653846,14.9543546025708,7.85783381531844e-28,1.6084091814912e-25,52.8077556355175
"A_24_P726336",-1.57183189423074,10.1018607740385,-14.9397494846972,8.43076758734976e-28,1.71541028832367e-25,52.7379721724887
"A_24_P38276",2.26993680769234,12.5937883846154,14.9299106453454,8.84022107538977e-28,1.78807856224881e-25,52.6909475974953
"A_33_P3381647",2.35033849230772,8.64346919615385,14.9177599653931,9.37357905303495e-28,1.88480619276408e-25,52.6328575673773
"A_23_P209700",-2.98415663076922,6.97335654615385,-14.9114207314048,9.66456202423481e-28,1.9249655945974e-25,52.6025438902587
"A_33_P3354374",-2.73070765,3.03890715576923,-14.9109628447263,9.68592815934096e-28,1.9249655945974e-25,52.6003541284031
"A_23_P111860",-2.35803808653844,8.51718604326923,-14.9024077452246,1.00939765300143e-27,1.99446473829757e-25,52.5594362568539
"A_33_P3284838",-2.93475674615383,5.73018234038462,-14.8712077894753,1.17341340292249e-27,2.30521783632756e-25,52.410136805365
"A_33_P3344911",-3.42127548326923,3.10336890971154,-14.8553038841203,1.26707268691353e-27,2.47499118038659e-25,52.3339878802823
